Barrette Pile FEA Analysis Results
========================================

Barrette dimensions: 1.0 x 0.8 x 15.0 m
Soil E = 10000 kN/m², ν = 0.3
Concrete E = 30000000.0 kN/m², ν = 0.15

Load (kN)	Settlement (mm)
----------------------------------------
100		-6.05
200		-12.10
500		-30.24
1000		-60.48
2000		-120.96
3000		-181.44
4000		-241.92
5000		-302.40
6000		-362.88
7000		-423.36
8000		-483.84
